Technology,Year,Power_kW,Hub_m,Dia_m,X_coord,Y_coord,PS_Year,PS_Hub,PS_Dia
wind power,"2015","3000",149.00000000000,115.00000000000,4280248.14360000010,2908952.49168000000,,,
wind power,"2015","3050",149.00000000000,115.00000000000,4276518.27601000010,2909947.51765999990,,,
wind power,"2011","2000",95.00000000000,90.00000000000,4280420.27156999990,2916468.11330999990,,,
wind power,"2001","1000",70.00000000000,60.00000000000,4290329.39563999980,2912808.64054000010,,,
wind power,"2015","3000",149.00000000000,116.00000000000,4280302.90737000010,2908557.81453000010,,,
wind power,"2003","1500",100.00000000000,77.00000000000,4299175.08370999990,2914540.13065999980,,,
wind power,"2006","2000",100.00000000000,82.00000000000,4306445.23697000000,2921496.94457999990,,,
wind power,"2001","1000",70.00000000000,60.00000000000,4290687.51370999960,2912809.84370000010,,,
wind power,"2007","2000",100.00000000000,93.00000000000,4298880.08040999990,2914560.99634000010,,,
wind power,"2008","2000",100.00000000000,93.00000000000,4298630.42133999990,2914742.30263999990,,,
wind power,"2007","2000",100.00000000000,93.00000000000,4298560.30468999970,2915049.49902000000,,,
wind power,"2007","2000",100.00000000000,93.00000000000,4299037.36187999970,2914277.94187000020,,,
wind power,"2005","2000",85.00000000000,71.00000000000,4160009.17814000000,2741372.16112999990,,,
wind power,"2012","2000",138.00000000000,82.00000000000,4260365.87028000040,2873795.41103000010,,,
wind power,"2002","600",78.00000000000,44.00000000000,4304545.12789000010,2955310.84664000010,,,
wind power,"2001","600",78.00000000000,44.00000000000,4304258.91201999970,2946453.66808999980,,,
wind power,"2001","600",78.00000000000,44.00000000000,4304472.70717000030,2946509.80127000020,,,
wind power,"2001","600",78.00000000000,44.00000000000,4304439.82519999980,2946669.22209999990,,,
wind power,"2001","600",78.00000000000,44.00000000000,4286349.63652999980,2942621.30314000000,,,
wind power,"2001","600",78.00000000000,44.00000000000,4286354.10544999970,2942731.23198000020,,,
wind power,"2001","600",78.00000000000,44.00000000000,4286385.78308000040,2942481.83062000010,,,
wind power,"2001","600",78.00000000000,44.00000000000,4286574.15261999980,2942356.30947000020,,,
wind power,"2001","600",78.00000000000,44.00000000000,4286675.99509000030,2942117.96477000000,,,
wind power,"2001","600",78.00000000000,44.00000000000,4286633.67456999980,2942244.52080000010,,,
wind power,"2001","600",78.00000000000,44.00000000000,4286219.67392999960,2942177.09495999990,,,
wind power,"2001","600",78.00000000000,44.00000000000,4286390.61648000030,2942094.80436000000,,,
wind power,"2004","600",78.00000000000,44.00000000000,4291684.49825999980,2941315.75400000020,,,
wind power,"2004","600",78.00000000000,44.00000000000,4292509.20971999970,2940529.77021999980,,,
wind power,"2004","600",77.65000000000,44.00000000000,4284378.93020000030,2951958.96676999980,,,
wind power,"2004","600",77.65000000000,44.00000000000,4284467.23398000000,2951755.79472000010,,,
wind power,"2002","600",77.90000000000,44.00000000000,4293506.88765999950,2957488.69596999980,,,
wind power,"2002","600",77.90000000000,44.00000000000,4293678.66198999990,2957319.40206000020,,,
wind power,"2002","1000",70.50000000000,59.00000000000,4296268.21437999980,2937612.70023000010,,,
wind power,"2003","1800",98.00000000000,70.00000000000,4294563.33299999960,2939977.27638000020,,,
wind power,"2011","800",73.25000000000,53.00000000000,4290597.63334000020,2928070.90408999990,,,
wind power,"2004","2000",105.00000000000,90.00000000000,4290179.46953000040,2933393.85668999980,,,
wind power,"2004","2000",105.00000000000,90.00000000000,4289631.84338000040,2932832.27424000020,,,
wind power,"2015","2530",139.00000000000,120.00000000000,4326090.35864000020,2931030.22890000000,,,
wind power,"2007","2000",95.00000000000,80.00000000000,4298057.40809999970,2955433.78532999990,,,
wind power,"2007","2000",95.00000000000,80.00000000000,4297922.07806000020,2955785.56699000020,,,
wind power,"2007","2000",95.00000000000,80.00000000000,4298542.76702999980,2955827.23655000000,,,
wind power,"2007","2000",95.00000000000,80.00000000000,4298124.62256999970,2955972.83185000020,,,
wind power,"2007","2000",95.00000000000,80.00000000000,4298725.84473999960,2956054.75828999980,,,
wind power,"2007","2000",95.00000000000,80.00000000000,4298477.28940000010,2955418.15460000000,,,
wind power,"2007","2000",95.00000000000,80.00000000000,4298416.10154000020,2956078.91132000000,,,
wind power,"2007","2000",95.00000000000,80.00000000000,4298301.42315000020,2955730.48343000000,,,
wind power,"2007","2000",95.00000000000,80.00000000000,4298823.71095000020,2955893.46180999980,,,
wind power,"2002","800",70.00000000000,80.00000000000,4307114.84537999980,2925066.45383000000,,,
wind power,"2015","2000",100.00000000000,100.00000000000,4327434.94362999960,2933163.02918000010,,,
wind power,"2011","2000",100.00000000000,92.00000000000,4318743.49203000030,2929952.90615000020,,,
wind power,"2015","3200",123.00000000000,114.00000000000,4318416.36122000030,2929120.39178000020,,,
wind power,"2015","3200",123.00000000000,114.00000000000,4317719.63377000020,2929679.55630999990,,,
wind power,"2015","3200",143.00000000000,114.00000000000,4319749.98998999970,2929898.54636000000,,,
wind power,"2015","2050",100.00000000000,92.00000000000,4318578.64917000010,2930118.06911000000,,,
wind power,"2004","2000",105.00000000000,90.00000000000,4290102.78292999980,2933718.84761000010,,,
wind power,"2002","1000",70.50000000000,59.00000000000,4295712.64460999980,2938105.08630000010,,,
wind power,"2004","2000",105.00000000000,90.00000000000,4290286.01126000010,2933207.44906000000,,,
wind power,"2015","2530",139.00000000000,120.00000000000,4325033.28763999980,2930589.32049999990,,,
wind power,"2002","2300",107.38000000000,82.00000000000,4318665.34815000000,2929567.00890999990,,,
wind power,"2002","1000",70.50000000000,58.00000000000,4318465.50992000010,2929883.61158999990,,,
wind power,"2002","500",65.00000000000,40.00000000000,4318330.47025000020,2929506.46901000010,,,
wind power,"2002","1000",70.50000000000,58.00000000000,4318066.94940000030,2929546.96327999980,,,
wind power,"2002","1000",98.00000000000,70.00000000000,4319036.54403000050,2929952.01285000010,,,
wind power,"2002","1000",98.00000000000,70.00000000000,4318878.16935000010,2929098.26095000000,,,
wind power,"2005","2000",98.20000000000,71.00000000000,4319346.34377000020,2929705.93994000000,,,
wind power,"2015","800",73.25000000000,53.00000000000,4314031.74474999960,2925159.33729000020,,,
wind power,"2004","2000",105.00000000000,90.00000000000,4289804.02802999970,2933292.90848999980,,,
wind power,"2001","1300",80.00000000000,62.00000000000,4286144.06524000040,2939286.40988000020,,,
wind power,"2001","1300",80.00000000000,62.00000000000,4285987.13700000010,2938395.61443000010,,,
wind power,"2001","1300",80.00000000000,62.00000000000,4285670.58853999990,2938959.81126999990,,,
wind power,"2001","1300",80.00000000000,62.00000000000,4286061.18596000040,2938697.58583999980,,,
wind power,"2001","1300",80.00000000000,62.00000000000,4286100.16543999970,2938995.03122999980,,,
wind power,"2001","1000",70.00000000000,54.00000000000,4292799.26271000040,2957528.20151000000,,,
wind power,"2001","1000",70.00000000000,54.00000000000,4293040.80164999980,2957414.96529999980,,,
wind power,"2007","1000",70.00000000000,54.00000000000,4292881.02873000040,2957210.13073999990,,,
wind power,"2001","1500",90.00000000000,70.00000000000,4293039.79774999990,2957713.95270999990,,,
wind power,"2001","1500",90.00000000000,70.00000000000,4292826.23118000010,2957749.82030999990,,,
wind power,"2001","1500",90.00000000000,70.00000000000,4292626.58421000000,2957779.50104000000,,,
wind power,"2001","1500",90.00000000000,70.00000000000,4293236.69728999960,2957703.30755000000,,,
wind power,"2001","1500",90.00000000000,70.00000000000,4292413.05755999960,2957818.36774000010,,,
wind power,"2012","2300",138.38000000000,82.00000000000,4299239.33963000030,2950166.46647999990,,,
wind power,"2012","2000",108.38000000000,82.00000000000,4299986.19837000030,2950368.43544000010,,,
wind power,"2012","2000",108.38000000000,82.00000000000,4299925.56061999970,2950771.20552999990,,,
wind power,"2004","600",77.65000000000,44.00000000000,4284402.60744000040,2952233.62513000010,,,
wind power,"2004","600",77.65000000000,44.00000000000,4284152.29268000000,2952363.98504999980,,,
wind power,"2004","1500",100.00000000000,77.00000000000,4327799.14223000030,2933323.17427999990,,,
wind power,"2004","1500",100.00000000000,77.00000000000,4327614.29360000040,2932734.72924999990,,,
wind power,"2004","1500",100.00000000000,77.00000000000,4327314.87942000010,2932858.67475999980,,,
wind power,"2003","1000",90.00000000000,59.00000000000,4304180.95540999990,2955153.73928999990,,,
wind power,"2001","1000",70.50000000000,59.00000000000,4293394.40844000040,2957230.22961999990,,,
wind power,"2001","850",74.00000000000,52.00000000000,4292097.83798000030,2957582.62528999990,,,
wind power,"2001","850",74.00000000000,52.00000000000,4292101.51252000030,2957408.59143000000,,,
wind power,"2015","2530",139.00000000000,120.00000000000,4325660.42621999980,2930590.00669000020,,,
wind power,"2015","2530",139.00000000000,120.00000000000,4326820.00528000020,2929560.82621000010,,,
wind power,"2015","2530",139.00000000000,120.00000000000,4327329.17126999980,2930092.98441000000,,,
wind power,"2015","2530",139.00000000000,120.00000000000,4326714.44727000040,2929897.16349999980,,,
wind power,"2015","2530",139.00000000000,120.00000000000,4327093.54339999980,2930426.04498999980,,,
wind power,"2015","2530",139.00000000000,120.00000000000,4326495.85971000050,2930232.99847000000,,,
wind power,"2015","2530",139.00000000000,120.00000000000,4326149.49834000040,2930512.53836000010,,,
wind power,"2007","2000",100.00000000000,82.00000000000,4274616.19811999980,2959469.14443999990,,,
wind power,"2007","2000",100.00000000000,82.00000000000,4274970.14305999970,2959384.36603000020,,,
wind power,"2001","850",74.00000000000,52.00000000000,4292134.10345000030,2957901.11078000020,,,
wind power,"2015","2350",138.38000000000,92.00000000000,4314919.49791000040,2934155.08295999980,,,
wind power,"2015","2350",138.38000000000,92.00000000000,4314373.82404000030,2934414.30767000000,,,
wind power,"2002","660",65.00000000000,47.00000000000,4307011.99863000030,2945289.99973999990,,,
wind power,"2002","660",65.00000000000,47.00000000000,4306621.32993999960,2945321.21682999980,,,
wind power,"2002","660",65.00000000000,47.00000000000,4306718.38621999980,2945473.90062000000,,,
wind power,"2002","660",65.00000000000,47.00000000000,4307160.93553000040,2945582.97269000020,,,
wind power,"2002","660",65.00000000000,47.00000000000,4307216.21932000010,2945378.25939999990,,,
wind power,"2002","660",65.00000000000,47.00000000000,4306850.25705000010,2945612.12145000000,,,
wind power,"2002","660",65.00000000000,47.00000000000,4306939.47463000010,2945476.94596999980,,,
wind power,"2002","660",65.00000000000,47.00000000000,4306826.89862999970,2945285.47404999980,,,
wind power,"2002","660",65.00000000000,47.00000000000,4307119.25224000030,2945757.50834999980,,,
wind power,"2015","2530",139.00000000000,120.00000000000,4325591.51618000030,2931049.83798999990,,,
wind power,"2007","1500",100.00000000000,77.00000000000,4287320.60763000040,2920251.90328000020,,,
wind power,"2002","1000",90.00000000000,58.00000000000,4285939.06421000040,2938166.28433000020,,,
wind power,"2015","2500",139.00000000000,120.00000000000,4283516.23175000030,2922929.64072000000,,,
wind power,"2015","2500",139.00000000000,120.00000000000,4284146.26893999990,2922544.22306000020,,,
wind power,"2015","2500",139.00000000000,120.00000000000,4284070.92415000030,2922970.18086999980,,,
wind power,"2015","2500",139.00000000000,120.00000000000,4283686.89094000030,2922600.38933000020,,,
wind power,"2012","2300",108.30000000000,82.00000000000,4285883.65677999980,2937837.06505999990,,,
wind power,"2012","2300",108.30000000000,82.00000000000,4285994.55398000030,2937452.61519999990,,,
wind power,"2007","2000",100.00000000000,92.00000000000,4287434.44225000030,2919711.44968000010,,,
wind power,"2008","2000",100.00000000000,92.00000000000,4268393.37301999980,2926999.99305999980,,,
wind power,"2008","2000",100.00000000000,92.00000000000,4268010.50176000040,2927242.14263000010,,,
wind power,"2002","1300",80.00000000000,62.00000000000,4285692.29478000010,2937663.65616999990,,,
wind power,"2002","1300",80.00000000000,62.00000000000,4285631.08684999960,2937349.51300999990,,,
wind power,"2004","2000",100.00000000000,82.00000000000,4285027.16717999990,2927470.76604000010,,,
wind power,"2004","2000",100.00000000000,82.00000000000,4284893.31479000020,2927709.53563999990,,,
wind power,"2000","1000",70.00000000000,54.00000000000,4283217.38922999990,2936069.11873999980,,,
wind power,"2000","1000",70.00000000000,54.00000000000,4283071.67545000000,2935269.16536000000,,,
wind power,"2000","1000",70.00000000000,54.00000000000,4282674.05563000030,2935005.54413999990,,,
wind power,"2011","2050",100.00000000000,92.00000000000,4282370.07383999970,2935162.61883000010,,,
wind power,"2011","2050",100.00000000000,92.00000000000,4283313.33841000030,2935688.86788999990,,,
wind power,"2013","3200",143.00000000000,114.00000000000,4277701.76370000000,2937176.29660000000,,,
wind power,"2013","3200",143.00000000000,114.00000000000,4277540.25810999980,2935943.59670000010,,,
wind power,"2013","3200",143.00000000000,114.00000000000,4276417.02513999960,2936621.67559000010,,,
wind power,"2013","3200",143.00000000000,114.00000000000,4277622.19225000030,2936311.45564999990,,,
wind power,"2013","3200",143.00000000000,114.00000000000,4277385.46067999960,2936635.61415999990,,,
wind power,"2002","1500",85.00000000000,77.00000000000,4275796.82751000020,2935346.16815999990,,,
wind power,"2002","1500",85.00000000000,77.00000000000,4275293.20277999990,2935458.95062999990,,,
wind power,"2004","1500",100.00000000000,77.00000000000,4287166.08249999960,2920440.95148999990,,,
wind power,"2004","1500",100.00000000000,77.00000000000,4287442.27556000000,2920074.29471000000,,,
wind power,"2010","2000",100.00000000000,92.00000000000,4266661.47238000020,2938489.30267000010,,,
wind power,"2010","2000",100.00000000000,92.00000000000,4267349.12844000010,2938898.96160000000,,,
wind power,"2010","2000",100.00000000000,92.00000000000,4267211.59726999980,2938562.85184000010,,,
wind power,"2003","1500",85.00000000000,70.00000000000,4193039.69930000000,2819675.47606999990,,,
wind power,"2002","1000",70.40000000000,58.00000000000,4183706.85973000010,2804574.64219000000,,,
wind power,"1997","600",60.00000000000,46.00000000000,4184168.65234000000,2804619.16140000010,,,
wind power,"2001","1500",90.00000000000,77.00000000000,4164466.51267000010,2797449.94283000010,,,
wind power,"2011","2000",125.00000000000,90.00000000000,4195148.21657999980,2787807.82910000020,,,
wind power,"2013","3000",135.40000000000,101.00000000000,4170961.23037000000,2793202.81191000020,,,
wind power,"2015","2300",84.50000000000,71.00000000000,4188350.33834999990,2834283.67511999980,,,
wind power,"2009","2000",98.30000000000,82.00000000000,4190591.90952999980,2793121.40782999990,,,
wind power,"2009","2000",98.30000000000,82.00000000000,4190909.73565000020,2793396.87121000000,,,
wind power,"2002","1000",110.00000000000,54.00000000000,4191539.83023000000,2792857.27410000000,,,
wind power,"2002","1000",110.00000000000,54.00000000000,4191376.64910000000,2792624.63620000010,,,
